Map name,Tier,Type,Stages/Cps,Bonuses
surf_portal_game4,3,Staged,6,0
surf_prevail,3,Linear,3,1
surf_prismatic_ksf,3,Linear,3,1
surf_prosaic,3,Staged,5,0
surf_proximity_final,3,Staged,6,1
surf_psi_fixed,3,Staged,3,0
surf_psychedelia,3,Linear,3,1
surf_purgatory,3,Staged,6,0
surf_quantum_njv,3,Linear,4,0
surf_quasar_final,3,Staged,4,1
surf_queen_of_the_ween,3,Linear,3,3
surf_quilavar,3,Linear,4,0
surf_rapid,3,Staged,5,1
surf_razer_final,3,Staged,4,0
surf_reactor,3,Linear,4,0
surf_resort,3,Linear,5,0
surf_retroartz,3,Linear,4,0
surf_ripper,3,Staged,4,1
surf_roman_v2,3,Linear,3,1
surf_s_t_a_t_i_o_n,3,Staged,7,0
surf_sandbrick,3,Staged,5,0
surf_sanding_ksf,3,Staged,6,0
surf_sandstorm2,3,Staged,4,1
surf_sanguine,3,Staged-Linear,6,1
surf_santorini2,3,Linear,5,1
surf_scarlet_ksf,3,Linear,4,4
surf_sci_fi,3,Staged,3,0
surf_seaside,3,Staged,7,3
surf_second,3,Linear,4,1
surf_sequoia_fix,3,Staged,3,2
surf_serenity,3,Staged,3,3
surf_sinner_ksf,3,Staged,3,4
surf_sinsane_ez,3,Linear,5,1
surf_sirius,3,Linear,5,3
surf_sketchy,3,Linear,3,3
surf_sky_ages,3,Staged,4,0
surf_slob2_fix,3,Staged,7,0
surf_slobs,3,Staged,16,2
surf_smaragd_fix,3,Staged,6,0
surf_smile_njv,3,Staged,5,0
surf_spaceship_ksf,3,Linear,6,3
surf_spectrum_njv,3,Staged,5,0
surf_stagejuan_ksf,3,Linear,8,3
surf_static,3,Staged,7,1
surf_stick,3,Staged,6,0
surf_stickybutt_alpha,3,Linear,5,1
surf_stonework2,3,Linear,4,1
surf_strafe,3,Linear,3,0
surf_subway,3,Linear,4,3
surf_swagtoast,3,Staged,9,1
surf_sylvan,3,Linear,5,1
surf_take1,3,Linear,4,1
surf_tempest,3,Linear,4,3
surf_tempest2,3,Linear,5,2
surf_tenacious,3,Staged,4,0
surf_the_internet,3,Staged,12,2
surf_thembrium_njv,3,Staged,5,1
surf_theunexpected,3,Linear,4,3
surf_threnody,3,Staged,3,2
surf_togo,3,Linear,4,1
surf_torque,3,Staged,4,2
surf_torque2,3,Staged,4,2
surf_tron_njv,3,Linear,4,0
surf_tronia_refix,3,Staged,4,4
surf_two_colour,3,Staged,6,0
surf_ultimatum,3,Staged,6,0
surf_undergrowth,3,Linear,4,3
